prefix,city_csv,sim_csv,provider_csv,provider_api,hlr_api,raw_text
81147,Ambon,HALO,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Ambon, Indonesia","$ hlrlookup 0811471834123

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Ambon, Indonesia"
813430,Ambon,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Ambon, Indonesia","$ hlrlookup 08134301115781

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Ambon, Indonesia"
813431,Ambon,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Ambon, Indonesia","$ hlrlookup 08134315772019

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Ambon, Indonesia"
813432,Ambon,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Ambon, Indonesia","$ hlrlookup 08134323204199

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Ambon, Indonesia"
813567,Ambon,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Manado, Indonesia","$ hlrlookup 08135678635720

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Manado, Indonesia"
813568,Ambon,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Manado, Indonesia","$ hlrlookup 08135684134113

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Manado, Indonesia"
813569,Ambon,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Manado, Indonesia","$ hlrlookup 08135691383894

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Manado, Indonesia"
82197,Ambon,SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Manado, Indonesia","$ hlrlookup 0821970038603

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Manado, Indonesia"
85243,Ambon,AS,TELKOMSEL,Telekomunikasi Selular (KARTU HALO/SIMPATI/KARTU AS),"Ambon, Indonesia","$ hlrlookup 0852430627966

Operator: Telekomunikasi Selular (KARTU HALO/SIMPATI/KARTU AS)
HLR     : Ambon, Indonesia"
85343,Ambon,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Ambon, Indonesia","$ hlrlookup 0853432821132

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Ambon, Indonesia"
